Industry,experience_years,employee_count
Academia,"8 - 10 years",1
"Academia ","8 - 10 years",1
"Academic Medicine ","8 - 10 years",1
"Academic Press Production","8 - 10 years",1
"Academic Publishing","8 - 10 years",1
"Academic Publishing ","8 - 10 years",1
"Academic Science","8 - 10 years",1
"Accounting, Banking & Finance","8 - 10 years",276
"Administration In Mlm","8 - 10 years",1
"Administrative ","8 - 10 years",1
"Administrative Work","8 - 10 years",1
"Agriculture Or Forestry","8 - 10 years",33
"Analytical Lab","8 - 10 years",1
Animation,"8 - 10 years",2
Architecture,"8 - 10 years",1
Archives,"8 - 10 years",1
"Art & Design","8 - 10 years",57
"Art Appraisal","8 - 10 years",1
"Association Management","8 - 10 years",1
"Auction Hounited Statese","8 - 10 years",1
"Auto Repair","8 - 10 years",1
Automotive,"8 - 10 years",2
Aviation,"8 - 10 years",1
"Beauty /Cpg ","8 - 10 years",2
"Beauty Manufacturing & Education ","8 - 10 years",1
Biologist,"8 - 10 years",1
Biology/Research,"8 - 10 years",1
"Biomedical Research","8 - 10 years",3
Biopharma,"8 - 10 years",2
Biotech,"8 - 10 years",9
Biotech/Pharma,"8 - 10 years",2
Biotechnology,"8 - 10 years",3
"Bunited Statesiness Or Consulting","8 - 10 years",148
Cleaning,"8 - 10 years",1
"Clinical Research","8 - 10 years",2
"Clinical Research ","8 - 10 years",1
"Commercial Real Estate","8 - 10 years",1
Communications,"8 - 10 years",1
Compliance,"8 - 10 years",3
"Computing Or Tech","8 - 10 years",797
Conservation,"8 - 10 years",1
Construction,"8 - 10 years",1
"Construction, Hvac ","8 - 10 years",1
Consulting,"8 - 10 years",4
"Consumer Goods","8 - 10 years",2
"Consumer Packaged Goods","8 - 10 years",2
"Consumer Research","8 - 10 years",2
"Contract Research Organisation","8 - 10 years",1
"Costruction Admin","8 - 10 years",1
"Cultural Heritage","8 - 10 years",1
"Data Breach","8 - 10 years",1
"Data Entry","8 - 10 years",1
"Data/Institutional Research In Higher Education","8 - 10 years",1
Defense,"8 - 10 years",2
"Defense Contractor","8 - 10 years",1
Digital,"8 - 10 years",1
"Disability Services ","8 - 10 years",1
"Diversity, Equity & Inclunited Statesion ","8 - 10 years",2
E-Commerce,"8 - 10 years",2
"Early Childhood Education","8 - 10 years",2
"Ed Tech","8 - 10 years",1
"Education (Higher Education)","8 - 10 years",292
"Education (Primary/Secondary)","8 - 10 years",94
"Educational Technology - Hybrid Between Book Publishing And Technology Really","8 - 10 years",1
Energy,"8 - 10 years",7
Energy/Oil,"8 - 10 years",1
"Engineering Or Manufacturing","8 - 10 years",176
Entertainment,"8 - 10 years",37
"Enviromental ","8 - 10 years",1
Environment,"8 - 10 years",2
"Environment, Health, And Safety","8 - 10 years",1
Environmental,"8 - 10 years",1
"Environmental Compliance/Engineering","8 - 10 years",2
"Environmental Health + Pest Control","8 - 10 years",1
"Environmental Science","8 - 10 years",2
"Executive Search","8 - 10 years",2
"Federal Contracting/Bunited Statesiness Development","8 - 10 years",1
Finance,"8 - 10 years",2
"Fire Protection","8 - 10 years",1
Fitness,"8 - 10 years",1
Fmcg,"8 - 10 years",2
Food,"8 - 10 years",1
"Food & Beverages","8 - 10 years",1
"Food Production","8 - 10 years",1
"Funeral Service ","8 - 10 years",1
"Funeral Services","8 - 10 years",1
"Gaming (Gambling)","8 - 10 years",1
"Global Mobility","8 - 10 years",1
"Government ","8 - 10 years",1
"Government And Public Adminisraeltration","8 - 10 years",2
"Government And Public Administration","8 - 10 years",306
"Government Contracting","8 - 10 years",2
"Government Contractor ","8 - 10 years",1
"Graduate Assistant And Also Events ","8 - 10 years",1
"Health Care","8 - 10 years",271
"Healthcare Technology ","8 - 10 years",2
"Hospitality & Events","8 - 10 years",43
"Human Resources","8 - 10 years",1
"Human Services","8 - 10 years",1
Immigration,"8 - 10 years",1
Insurance,"8 - 10 years",88
"Interior Landscaping ","8 - 10 years",1
"International Development","8 - 10 years",2
"International Development (Multilateral Donor)","8 - 10 years",2
"International Organization (Un)","8 - 10 years",2
Interpretation,"8 - 10 years",2
"It Security","8 - 10 years",1
Journalism,"8 - 10 years",1
"Labour/Professional Organization","8 - 10 years",1
Law,"8 - 10 years",161
"Law Enforcement & Security","8 - 10 years",8
"Learning And Development","8 - 10 years",1
"Leisure, Sport & Tourism","8 - 10 years",13
Librarian,"8 - 10 years",2
Libraries,"8 - 10 years",7
"Libraries/Munited Stateseums/Archives","8 - 10 years",1
Library,"8 - 10 years",6
Library/Archives,"8 - 10 years",2
Lobbying,"8 - 10 years",2
Manufacturing,"8 - 10 years",4
"Manufacturing ","8 - 10 years",4
Manufacturing/Wholesale,"8 - 10 years",1
"Marketing, Advertising & Pr","8 - 10 years",188
"Media & Digital","8 - 10 years",91
"Medical Research","8 - 10 years",1
"Medical Supply Wholesale & Warehounited Statesing","8 - 10 years",1
"Mental Health","8 - 10 years",1
Mortgage,"8 - 10 years",1
"Munited Stateseums","8 - 10 years",1
"My Company Sells & Services Variounited States Types Of Printers, Mostly Kyocera.","8 - 10 years",1
"Non-Profit Health Care (I Couldnâ€™T Select Both)","8 - 10 years",1
Nonprofits,"8 - 10 years",362
"Oil & Gas","8 - 10 years",5
"Online Education Startup (Non-Technical Role)","8 - 10 years",1
"Organized Labor","8 - 10 years",2
Pharma,"8 - 10 years",6
"Pharma & Biotech","8 - 10 years",2
Pharma/Biotech,"8 - 10 years",2
"Pharmaceutical ","8 - 10 years",2
"Pharmaceutical Development","8 - 10 years",2
Pharmaceuticals,"8 - 10 years",3
"Pharmaceuticals / Biotech","8 - 10 years",2
Philanthropy,"8 - 10 years",3
"Philanthropy ","8 - 10 years",3
"Production And Manufacturing","8 - 10 years",1
"Program Management ","8 - 10 years",2
"Property Or Construction","8 - 10 years",61
Psychologist,"8 - 10 years",1
"Public Health","8 - 10 years",2
"Public Libraries","8 - 10 years",1
"Public Library","8 - 10 years",3
"Public Safety ","8 - 10 years",2
Publishing,"8 - 10 years",5
"Real Estate","8 - 10 years",1
"Real Estate Development","8 - 10 years",1
"Real Estate Investment","8 - 10 years",1
"Real Estate Investment Support","8 - 10 years",1
"Real Estate Title Company","8 - 10 years",1
"Real Estate/Development","8 - 10 years",1
"Recruitment Or Hr","8 - 10 years",102
"Renewable Energy","8 - 10 years",1
"Renewable Fuels","8 - 10 years",1
Research,"8 - 10 years",3
"Research ","8 - 10 years",1
"Research And Development","8 - 10 years",2
"Restaurant ","8 - 10 years",1
Restaurant/Service,"8 - 10 years",2
Retail,"8 - 10 years",81
"Saas Company/Software","8 - 10 years",2
Sales,"8 - 10 years",37
"Sales ","8 - 10 years",2
"Science ","8 - 10 years",1
"Scientific Research","8 - 10 years",2
"Social Work","8 - 10 years",44
Software,"8 - 10 years",2
"Stem Medical Research","8 - 10 years",1
"Strategy Consulting","8 - 10 years",2
"Subsidized Seniors Hounited Statesing","8 - 10 years",1
"Supply Chain Distribution ","8 - 10 years",1
"Tabletop Gaming","8 - 10 years",1
Technology/Saas,"8 - 10 years",2
"Trade Association","8 - 10 years",2
"Trade Association/Membership","8 - 10 years",1
Translation,"8 - 10 years",4
"Transport Or Logisraeltics","8 - 10 years",2
"Transport Or Logistics","8 - 10 years",53
Unions,"8 - 10 years",2
Unknown,"8 - 10 years",8
"Utilities & Telecommunications","8 - 10 years",62
"Veterinary M&A","8 - 10 years",1
"Veterinary Medicine","8 - 10 years",1
"Video Games","8 - 10 years",2
"Warehounited Statese- Food And Beverage ","8 - 10 years",1
"Wealth Advisor Research","8 - 10 years",1
"Wholesale Trade","8 - 10 years",1
